"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+003, +6.89031078817E-003, +0.00000000000E+000
+1.00250156348E+003, +7.01994663852E-003, +0.00000000000E+000
+1.00500312695E+003, +7.04454177324E-003, +0.00000000000E+000
+1.00750469043E+003, +7.10881211955E-003, +0.00000000000E+000
+1.01000625391E+003, +7.29230970360E-003, +0.00000000000E+000
+1.01250781739E+003, +7.34634672725E-003, +0.00000000000E+000
+1.01500938086E+003, +7.43025725043E-003, +0.00000000000E+000
+1.01751094434E+003, +7.47942984940E-003, +0.00000000000E+000
+1.02001250782E+003, +7.54523212110E-003, +0.00000000000E+000
+1.02251407129E+003, +7.56490857673E-003, +0.00000000000E+000
+1.02501563477E+003, +7.61464417365E-003, +0.00000000000E+000
+1.02751719825E+003, +7.61680026755E-003, +0.00000000000E+000
+1.03001876173E+003, +7.69126918770E-003, +0.00000000000E+000
+1.03252032520E+003, +7.68668692741E-003, +0.00000000000E+000
+1.03502188868E+003, +7.76028180134E-003, +0.00000000000E+000
+1.03752345216E+003, +7.82765282718E-003, +0.00000000000E+000
+1.04002501563E+003, +7.87126119275E-003, +0.00000000000E+000
+1.04252657911E+003, +7.85523743832E-003, +0.00000000000E+000
+1.04502814259E+003, +7.92322813359E-003, +0.00000000000E+000
+1.04752970607E+003, +7.99699993078E-003, +0.00000000000E+000
+1.05003126954E+003, +8.06781547423E-003, +0.00000000000E+000
+1.05253283302E+003, +7.99880902726E-003, +0.00000000000E+000
+1.05503439650E+003, +8.11224539966E-003, +0.00000000000E+000
+1.05753595997E+003, +8.19392318939E-003, +0.00000000000E+000
+1.06003752345E+003, +8.13379586114E-003, +0.00000000000E+000
+1.06253908693E+003, +8.21194744041E-003, +0.00000000000E+000
+1.06504065041E+003, +8.28445979233E-003, +0.00000000000E+000
+1.06754221388E+003, +8.26985348666E-003, +0.00000000000E+000
+1.07004377736E+003, +8.35694955309E-003, +0.00000000000E+000
+1.07254534084E+003, +8.35785765423E-003, +0.00000000000E+000
+1.07504690432E+003, +8.46537533373E-003, +0.00000000000E+000
+1.07754846779E+003, +8.49188468778E-003, +0.00000000000E+000
+1.08005003127E+003, +8.48967944212E-003, +0.00000000000E+000
+1.08255159475E+003, +8.47532766689E-003, +0.00000000000E+000
+1.08505315822E+003, +8.49656322118E-003, +0.00000000000E+000
+1.08755472170E+003, +8.56762845766E-003, +0.00000000000E+000
+1.09005628518E+003, +8.62584831677E-003, +0.00000000000E+000
+1.09255784866E+003, +8.63783592237E-003, +0.00000000000E+000
+1.09505941213E+003, +8.77596109299E-003, +0.00000000000E+000
+1.09756097561E+003, +8.83518392591E-003, +0.00000000000E+000
+1.10006253909E+003, +8.77313056767E-003, +0.00000000000E+000
+1.10256410256E+003, +8.89897196457E-003, +0.00000000000E+000
+1.10506566604E+003, +8.96723858199E-003, +0.00000000000E+000
+1.10756722952E+003, +9.00497540831E-003, +0.00000000000E+000
+1.11006879300E+003, +8.94317601009E-003, +0.00000000000E+000
+1.11257035647E+003, +9.01214398228E-003, +0.00000000000E+000
+1.11507191995E+003, +9.05692725278E-003, +0.00000000000E+000
+1.11757348343E+003, +9.10179610737E-003, +0.00000000000E+000
+1.12007504690E+003, +9.12999706897E-003, +0.00000000000E+000
+1.12257661038E+003, +9.13443575206E-003, +0.00000000000E+000
+1.12507817386E+003, +9.18488404048E-003, +0.00000000000E+000
+1.12757973734E+003, +9.29210809515E-003, +0.00000000000E+000
+1.13008130081E+003, +9.20887921619E-003, +0.00000000000E+000
+1.13258286429E+003, +9.25573953090E-003, +0.00000000000E+000
+1.13508442777E+003, +9.39170225330E-003, +0.00000000000E+000
+1.13758599124E+003, +9.44991336805E-003, +0.00000000000E+000
+1.14008755472E+003, +9.45653110429E-003, +0.00000000000E+000
+1.14258911820E+003, +9.44969484230E-003, +0.00000000000E+000
+1.14509068168E+003, +9.44753743911E-003, +0.00000000000E+000
+1.14759224515E+003, +9.57676453765E-003, +0.00000000000E+000
+1.15009380863E+003, +9.48837066758E-003, +0.00000000000E+000
+1.15259537211E+003, +9.47927516969E-003, +0.00000000000E+000
+1.15509693558E+003, +9.66654957438E-003, +0.00000000000E+000
+1.15759849906E+003, +9.68067913483E-003, +0.00000000000E+000
+1.16010006254E+003, +9.73335875635E-003, +0.00000000000E+000
+1.16260162602E+003, +9.75968487487E-003, +0.00000000000E+000
+1.16510318949E+003, +9.83840603586E-003, +0.00000000000E+000
+1.16760475297E+003, +9.98948180744E-003, +0.00000000000E+000
+1.17010631645E+003, +9.94766105746E-003, +0.00000000000E+000
+1.17260787992E+003, +9.97060103024E-003, +0.00000000000E+000
+1.17510944340E+003, +9.94313051335E-003, +0.00000000000E+000
+1.17761100688E+003, +9.99582182096E-003, +0.00000000000E+000
+1.18011257036E+003, +1.01238059292E-002, +0.00000000000E+000
+1.18261413383E+003, +9.95971342877E-003, +0.00000000000E+000
+1.18511569731E+003, +1.01039718742E-002, +0.00000000000E+000
+1.18761726079E+003, +1.02456265569E-002, +0.00000000000E+000
+1.19011882427E+003, +1.02733117283E-002, +0.00000000000E+000
+1.19262038774E+003, +1.02765472651E-002, +0.00000000000E+000
+1.19512195122E+003, +1.02982764992E-002, +0.00000000000E+000
+1.19762351470E+003, +1.04326009010E-002, +0.00000000000E+000
+1.20012507817E+003, +1.03785501056E-002, +0.00000000000E+000
+1.20262664165E+003, +1.05217266578E-002, +0.00000000000E+000
